
Symbol table '.dynsym' contains 27118 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
   143: 00000000009e9cc8   320 FUNC    GLOBAL DEFAULT   10 _ZN17SetupTriggerPopup19updateEaseRateLabelEv
   144: 000000000058d1fc   252 FUNC    GLOBAL DEFAULT   10 _ZN13ObjectManager10animLoadedEPKc
   145: 0000000001131628    56 OBJECT  GLOBAL DEFAULT   17 ISSUING_DIST_POINT_it
   146: 0000000000648334   204 FUNC    GLOBAL DEFAULT   10 _ZN10GameObject12isFacingLeftEv
   147: 0000000000bd8990  3168 FUNC    GLOBAL DEFAULT   10 png_init_read_transformations
   148: 00000000009fb970   140 FUNC    GLOBAL DEFAULT   10 _ZN22SetupShaderEffectPopupD2Ev
   149: 0000000000bca3f8   104 FUNC    GLOBAL DEFAULT   10 png_gamma_8bit_correct
   150: 000000000056c1b0   112 FUNC    GLOBAL DEFAULT   10 _ZN12BoomListView8lockListEb
   151: 0000000000aa3938     8 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9extension22CCControlPotentiometer15getMaximumValueEv
   152: 0000000001122308    56 OBJECT  GLOBAL DEFAULT   17 ZLONG_it
   153: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND time@LIBC (2)
   154: 00000000011fce90   168 OBJECT  WEAK   DEFAULT   17 _ZTVN7cocos2d9CCFlipX3DE
   155: 0000000000a6b6d8    72 FUNC    GLOBAL DEFAULT   10 _ZN19GroupCommandObject210resetDeltaEb
   156: 0000000000b3e908    28 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d17CCTouchDispatcher18decrementForcePrioEi
   157: 0000000000f17640    20 OBJECT  WEAK   DEFAULT   11 _ZTSN7cocos2d8CCFadeInE
   158: 0000000000ae1278    96 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d18CCKeypadDispatcherC2Ev
   159: 0000000000845590   248 FUNC    GLOBAL DEFAULT   10 _ZN16GJAccountManager11getDLObjectEPKc
   160: 000000000085a120   172 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameLayer15getGroundHeightEP12PlayerObjecti
   161: 00000000011fcd88    24 OBJECT  WEAK   DEFAULT   17 _ZTIN7cocos2d9CCShaky3DE
   162: 0000000000b3a4d0    60 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d13CCTMXTiledMap15setObjectGroupsEPNS_7CCArrayE
   163: 00000000007a6a04    16 FUNC    GLOBAL DEFAULT   10 _ZN14GJRewardObject6createEv
   164: 00000000005c2dcc    88 FUNC    GLOBAL DEFAULT   10 _ZN9MenuLayer9onCreatorEPN7cocos2d8CCObjectE
